id,y_1970,y_1980,y_1990,y_2000,y_2010
37063000101,3225,2442,1485,1056,840
37063000102,3824,2895,2845,2107,1525
37063000200,2283,1722,1536,1040,1148
37063000301,1600,1142,910,669,895
37063000302,3550,2727,2420,2067,2058
37063000401,3147,2420,2293,2124,1973
37063000402,1471,1656,1185,1023,1362
37063000500,1834,1688,1419,1009,1024
37063000600,4545,3594,3016,2380,2222
37063000700,2177,1751,1734,1638,1635
37063000900,125,48,50,62,62
37063001001,3775,2210,1038,454,291
37063001002,3848,2358,1402,614,373
37063001100,1317,624,377,202,224
37063001301,4,1,8,31,26
37063001303,11,11,19,23,66
37063001304,12,12,30,38,38
37063001400,6,11,15,40,32
37063001501,3316,3665,3950,2145,1527
37063001502,2648,2944,2444,1424,1350
37063001503,495,547,0,1165,1044
37063001601,1480,3136,3563,3977,3610
37063001603,1446,4100,4448,4681,4505
37063001604,1378,3906,4692,4456,4995
37063001705,2234,3237,3809,3050,2539
37063001706,965,1312,2694,2652,2443
37063001707,2666,3663,4097,5283,5361
37063001708,920,535,702,368,416
37063001709,1176,658,518,511,758
37063001710,1103,1318,2147,1497,1251
37063001711,1134,1372,2648,1680,1022
37063001801,3453,3952,3661,2787,2126
37063001802,2196,1993,2022,1178,695
37063001806,1339,1687,1711,1605,2359
37063001807,2720,3426,3475,3260,2157
37063001808,1232,1553,1837,2080,2372
37063001809,1320,1664,1966,2226,2345
37063001900,1072,1738,1657,1481,2235
37063002007,1852,2123,2830,2904,2777
37063002008,1607,1843,2222,2519,2485
37063002009,165,151,26,47,85
37063002013,259,323,3292,2777,2512
37063002015,519,1963,2426,2182,1856
37063002016,396,1501,1491,1410,1297
37063002017,2655,2193,3291,4217,5092
37063002018,2508,2106,3318,4200,5296
37063002019,709,882,989,2578,3277
37063002020,380,472,530,1381,3542
37063002021,394,491,550,1435,2102
37063002022,716,891,999,2604,2045
37063002023,67,68,1756,1992,1686
37063002024,111,113,2936,3330,3904
37063002025,155,139,1052,997,1974
37063002026,114,102,772,732,680
37063002027,1980,2467,1704,1907,2480
37063002028,730,909,628,703,2522
37063002100,1665,2009,3525,4813,5103
37063002200,750,370,352,293,998
37063002300,2,1,33,70,80
37063980100,195,243,168,188,0
